video,board,board_source,plan,board_changed,plan_changed,video_changed,best_seconds,best_mad,whole_seconds,highlight_seconds,whole_render_mad,highlight_render_mad,findings
videos/pace-of-change.mp4,illustrations/pace-of-change-future-research-v5.jpg,index,,2026-08-29 16:16,none,2026-08-26 10:39,187.5,36.69634259259259,,,,,MISSING_HIGHLIGHT_PLAN;BOARD_NEWER_THAN_VIDEO;CURRENT_BOARD_NOT_VISUALLY_FOUND
videos/pace-of-change.mp4,illustrations/pace-of-change-three-years-v2.jpg,index,,2026-08-29 18:38,none,2026-08-26 10:39,27.5,16.386666666666667,,,,,MISSING_HIGHLIGHT_PLAN;BOARD_NEWER_THAN_VIDEO;VISUAL_MATCH_WEAK
videos/questions-matter.mp4,illustrations/questions-matter-answers-cheap.jpg,index+plan,scripts/video/paths/questions-matter-answers-cheap-highlights.json,2026-08-21 22:36,2026-08-23 14:42,2026-08-23 14:42,45.0,2.2534027777777776,24.666666666666668,24.666666666666668,24.500457175925927,24.500457175925927,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/questions-matter.mp4,illustrations/questions-matter-value-shift.jpg,index+plan,scripts/video/paths/questions-matter-value-shift-highlights.json,2026-08-21 22:36,2026-08-23 14:42,2026-08-23 14:42,47.0,2.1357175925925924,48.266666666666666,56.166666666666664,3.043559027777778,9.127089120370371,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/rise-of-agents.mp4,illustrations/rise-of-agents-chatbot-agent-v2.jpg,index,,2026-08-29 16:16,none,2026-08-25 17:54,242.5,34.86122685185185,,,,,MISSING_HIGHLIGHT_PLAN;BOARD_NEWER_THAN_VIDEO;CURRENT_BOARD_NOT_VISUALLY_FOUND
videos/rise-of-agents.mp4,illustrations/rise-of-agents-flow-v2.jpg,index,,2026-08-29 16:16,none,2026-08-25 17:54,132.0,27.255601851851853,,,,,MISSING_HIGHLIGHT_PLAN;BOARD_NEWER_THAN_VIDEO;CURRENT_BOARD_NOT_VISUALLY_FOUND
videos/rise-of-agents.mp4,illustrations/rise-of-agents-gps-agent-v2.jpg,index,,2026-08-29 16:16,none,2026-08-25 17:54,4.0,88.62023148148148,,,,,MISSING_HIGHLIGHT_PLAN;BOARD_NEWER_THAN_VIDEO;CURRENT_BOARD_NOT_VISUALLY_FOUND
videos/rise-of-agents.mp4,illustrations/rise-of-agents-rogue-v2.jpg,index,,2026-08-29 16:16,none,2026-08-25 17:54,133.5,46.22196759259259,,,,,MISSING_HIGHLIGHT_PLAN;BOARD_NEWER_THAN_VIDEO;CURRENT_BOARD_NOT_VISUALLY_FOUND
videos/support-trap.mp4,illustrations/support-trap-real-vs-missing.jpg,index+plan,scripts/video/paths/support-trap-real-vs-missing-reprise-highlights.json,2026-08-24 15:56,2026-08-22 11:41,2026-08-24 15:56,90.0,2.199351851851852,222.86666666666667,225.03333333333333,6.268003472222222,6.438634259259259,BOARD_NEWER_THAN_PLAN;PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/tokens.mp4,illustrations/tokens-3-cat.jpg,index+plan,scripts/video/paths/tokens-3-cat-highlights.json,2026-08-21 22:36,2026-08-23 21:05,2026-08-23 21:05,138.5,2.3028472222222223,142.2,149.03333333333333,2.2651967592592595,2.376550925925926,COURSE_NATIVE_HIGHLIGHT_PLAN
